year1,m1,d1,average
2023,4,13,NaN
2023,4,14,2.113
2023,4,15,NaN
2023,4,16,NaN
2023,4,17,1.905
2023,4,18,1.496
2023,4,19,2.265
2023,4,20,NaN
2023,4,21,1.905
2023,4,22,NaN
2023,4,23,1.349
2023,4,24,NaN
2023,4,25,NaN
2023,4,26,NaN
2023,4,27,NaN
2023,4,28,NaN
2023,4,29,NaN
2023,4,30,4.519
2023,5,1,NaN
2023,5,2,2.985
2023,5,3,NaN
2023,5,4,NaN
2023,5,5,NaN
2023,5,6,NaN
2023,5,7,NaN
2023,5,8,NaN
2023,5,9,NaN
2023,5,10,NaN
2023,5,11,NaN
2023,5,12,3.936
2023,5,13,NaN
2023,5,14,NaN
2023,5,15,NaN
2023,5,16,NaN
2023,5,17,NaN
2023,5,18,NaN
2023,5,19,10.351
2023,5,20,7.328
2023,5,21,NaN
2023,5,22,NaN
2023,5,23,NaN
2023,5,24,NaN
2023,5,25,47.315
2023,5,26,17.378
2023,5,27,NaN
2023,5,28,NaN
2023,5,29,12.303
2023,5,30,NaN
2023,5,31,NaN
2023,6,1,NaN
2023,6,2,6.839
2023,6,3,NaN
2023,6,4,NaN
2023,6,5,NaN
2023,6,6,NaN
2023,6,7,NaN
2023,6,8,3.311
2023,6,9,3.673
2023,6,10,3.936
2023,6,11,NaN
2023,6,12,NaN
2023,6,13,3.311
2023,6,14,4.842
2023,6,15,NaN
2023,6,16,NaN
2023,6,17,NaN
2023,6,18,NaN
2023,6,19,NaN
2023,6,20,NaN
2023,6,21,5.37
2023,6,22,12.303
2023,6,23,2.265
2023,6,24,NaN
2023,6,25,3.428
2023,6,26,NaN
2023,6,27,NaN
2023,6,28,NaN
2023,6,29,NaN
2023,6,30,NaN
2023,7,1,NaN
2023,7,2,NaN
2023,7,3,NaN
