yyyy, mm, dd,lat,lon,chla
2014,8,1,36.5469,-0.8906,0.124451
2014,8,1,36.5469,-0.8802,0.128825
2014,8,1,36.5469,-0.8698,0.128825
2014,8,1,36.5469,-0.8594,0.133352
2014,8,1,36.5469,-0.849,0.128825
2014,8,1,36.5469,-0.8385,0.128825
2014,8,1,36.5469,-0.8281,0.133352
2014,8,1,36.5469,-0.8177,0.133352
2014,8,1,36.5469,-0.8073,0.133352
2014,8,1,36.5469,-0.7969,0.133352
2014,8,1,36.5469,-0.7865,0.133352
2014,8,1,36.5469,-0.776,0.124451
2014,8,1,36.5469,-0.7656,0.124451
2014,8,1,36.5469,-0.7552,0.128825
2014,8,1,36.5469,-0.7448,0.128825
2014,8,1,36.5469,-0.7344,0.124451
2014,8,1,36.5469,-0.724,0.120226
2014,8,1,36.5469,-0.7135,0.120226
2014,8,1,36.5469,-0.7031,0.120226
2014,8,1,36.5469,-0.6927,0.116145
2014,8,1,36.5469,-0.6823,0.116145
2014,8,1,36.5469,-0.6719,0.120226
2014,8,1,36.5365,-1.0052,0.108393
2014,8,1,36.5365,-0.9948,0.108393
2014,8,1,36.5365,-0.9844,0.112202
2014,8,1,36.5365,-0.974,0.112202
2014,8,1,36.5365,-0.9635,0.116145
2014,8,1,36.5365,-0.9531,0.120226
2014,8,1,36.5365,-0.9427,0.116145
2014,8,1,36.5365,-0.9323,0.120226
2014,8,1,36.5365,-0.9219,0.120226
2014,8,1,36.5365,-0.9115,0.124451
2014,8,1,36.5365,-0.901,0.124451
2014,8,1,36.5365,-0.8906,0.124451
2014,8,1,36.5365,-0.8802,0.128825
2014,8,1,36.5365,-0.8698,0.128825
2014,8,1,36.5365,-0.8594,0.133352
2014,8,1,36.5365,-0.849,0.128825
2014,8,1,36.5365,-0.8385,0.128825
2014,8,1,36.5365,-0.8281,0.133352
2014,8,1,36.5365,-0.8177,0.133352
2014,8,1,36.5365,-0.8073,0.133352
2014,8,1,36.5365,-0.7969,0.133352
2014,8,1,36.5365,-0.7865,0.133352
2014,8,1,36.5365,-0.776,0.128825
2014,8,1,36.5365,-0.7656,0.128825
2014,8,1,36.5365,-0.7552,0.128825
2014,8,1,36.5365,-0.7448,0.124451
2014,8,1,36.5365,-0.7344,0.124451
2014,8,1,36.5365,-0.724,0.120226
2014,8,1,36.5365,-0.7135,0.120226
2014,8,1,36.5365,-0.7031,0.116145
2014,8,1,36.5365,-0.6927,0.116145
2014,8,1,36.5365,-0.6823,0.116145
2014,8,1,36.5365,-0.6719,0.116145
2014,8,1,36.526,-1.0052,0.108393
2014,8,1,36.526,-0.9948,0.108393
2014,8,1,36.526,-0.9844,0.112202
2014,8,1,36.526,-0.974,0.112202
2014,8,1,36.526,-0.9635,0.116145
2014,8,1,36.526,-0.9531,0.120226
2014,8,1,36.526,-0.9427,0.116145
2014,8,1,36.526,-0.9323,0.120226
2014,8,1,36.526,-0.9219,0.124451
2014,8,1,36.526,-0.9115,0.124451
2014,8,1,36.526,-0.901,0.128825
2014,8,1,36.526,-0.8906,0.124451
2014,8,1,36.526,-0.8802,0.128825
2014,8,1,36.526,-0.8698,0.133352
2014,8,1,36.526,-0.8594,0.133352
2014,8,1,36.526,-0.849,0.133352
2014,8,1,36.526,-0.8385,0.133352
2014,8,1,36.526,-0.8281,0.133352
2014,8,1,36.526,-0.8177,0.138038
2014,8,1,36.526,-0.8073,0.133352
2014,8,1,36.526,-0.7969,0.133352
2014,8,1,36.526,-0.7865,0.133352
2014,8,1,36.526,-0.776,0.128825
2014,8,1,36.526,-0.7656,0.128825
2014,8,1,36.526,-0.7552,0.128825
2014,8,1,36.526,-0.7448,0.124451
2014,8,1,36.526,-0.7344,0.124451
2014,8,1,36.526,-0.724,0.120226
2014,8,1,36.526,-0.7135,0.120226
2014,8,1,36.526,-0.7031,0.120226
2014,8,1,36.526,-0.6927,0.120226
2014,8,1,36.526,-0.6823,0.120226
2014,8,1,36.526,-0.6719,0.124451
2014,8,1,36.5156,-1.0052,0.108393
2014,8,1,36.5156,-0.9948,0.112202
2014,8,1,36.5156,-0.9844,0.112202
2014,8,1,36.5156,-0.974,0.112202
2014,8,1,36.5156,-0.9635,0.116145
2014,8,1,36.5156,-0.9531,0.120226
2014,8,1,36.5156,-0.9427,0.120226
2014,8,1,36.5156,-0.9323,0.120226
2014,8,1,36.5156,-0.9219,0.124451
2014,8,1,36.5156,-0.9115,0.124451
2014,8,1,36.5156,-0.901,0.128825
2014,8,1,36.5156,-0.8906,0.128825
2014,8,1,36.5156,-0.8802,0.128825
2014,8,1,36.5156,-0.8698,0.133352
2014,8,1,36.5156,-0.8594,0.133352
2014,8,1,36.5156,-0.849,0.133352
2014,8,1,36.5156,-0.8385,0.133352
2014,8,1,36.5156,-0.8281,0.133352
2014,8,1,36.5156,-0.8177,0.133352
2014,8,1,36.5156,-0.8073,0.133352
2014,8,1,36.5156,-0.7969,0.133352
2014,8,1,36.5156,-0.7865,0.133352
2014,8,1,36.5156,-0.776,0.128825
2014,8,1,36.5156,-0.7656,0.128825
2014,8,1,36.5156,-0.7552,0.128825
2014,8,1,36.5156,-0.7448,0.124451
2014,8,1,36.5156,-0.7344,0.124451
2014,8,1,36.5156,-0.724,0.124451
2014,8,1,36.5156,-0.7135,0.124451
